sentiment,vi_review
negative,"thương ní , tui hum sếp đì nma sếp tui thân 1 thằng nv , thằng chỉ trích tui đi làm kia cv toàn dồn đầu , chat sếp nhắc nhở 3 tội chú ý làm việc nghịch đt , tui nửa đi sếp mắng 1 . tui ức lắm tui sếp nhắc nhở chẳng , đồng nghiệp , hum đứng phe tui sếp cv tui say bye ."
positive,biet duoc ngta yeu biet tỏ tình bt duoc mìn dag yeu 😝 😝 😝
negative,"buông xuôi , đàng vợ con , gia đình gắng đi tiếp 😌"
positive,<someone> haha
negative,hối hận quyết định cắt mái
positive,pam khuôn mặt :) ( ( ♥ ️
positive,mệt bấm điện thoại khỏe
positive,🥰 b video 🥰
negative,đi
negative,tội
positive,dễ thương 😂 😂
positive,cố ta cuộc đời ta ngàn khóc . ta ngàn cười 🥰 🥰 🥰 🥰 👍 👍
negative,tập podcast xoa dịu 🥰
negative,nhìu tập đi ( ( e ghiền
negative,áp lực vs gđ ☺ ️
negative,tỉnh ngộ 🥺
negative,đau :)))
positive,phương tuấn n ieoo vãi
positive,2 mẹ con kute
positive,ng đẹp 🥰 🥰 🥰
positive,chuche vãi
positive,giày xấu ko xung quanh ko chân giày . bài học quý giá
negative,kệ đời . mệt r 🥺
positive,nguyễn thi tú 😄
negative,qi hỉu đc ko
positive,cảnh đẹp
negative,t tim tiktok
negative,cuộc đời bạc bẽo khổ sở . ko 😳
negative,"e tin tưởng , e dần đi niềm vào ty a e 😟"
positive,hehe dính chưởng
negative,. kém may mắn 😔
negative,chồng đi quê chồng rau nuôi cá lành 😅
positive,app 💁
positive,câu hữu ích
negative,đầy đủ ta
negative,dượng ruột
positive,giật mình 🤣
positive,đẹp mê ly lun ❤ ️
positive,"- mời anh em , bạn bè quê điện biên phủ anh hùng ❤ ️"
negative,mik 😦 😊
negative,quỹ nhập . bo
negative,"k chỗ chỗ , chết dc dell , viết đơn xong khô máu vs quản lí chần chừ mẹ ."
positive,🥰 🥰 🥰 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛 💛
positive,tuyệt vời 🥰 🥰
negative,tánh đàng bà
negative,bữa cty t thằng ql kia ăn nhát kéo ... ql nội ngta ng sức chịu đựng 🥲
negative,đc overthinking
positive,tạnh deeee đi phú quốc 🥹
negative,mệt mỏi 🥺 😅
negative,đau ..
positive,tây ban nha chiếm ưu thế 3 vé đi tiếp
negative,😄
positive,may hôm qua th lautaro :)))
negative,trải r 😶
negative,cuộc đời
negative,mệt
negative,"mẹ đôi khi áp lực lắm mẹ , ơn mẹ thương mẹ ☺ ️"
negative,vứt
positive,mẹ cô dâu xuất sắc ❤ ️
positive,lautaro matinet 😂 sút uy tín đấy
positive,cô dâu
positive,happy birthday 2 you 🎉 🎂 🎉 🎂
positive,"cô dâu xinh , mặc váy xinh 😍"
positive,mẹ e rượu ko sao a say e
positive,moon 🫰 12 hai ta ko j ❤
positive,<someone> <someone> 👋
negative,ước j a k v
positive,🌸 ♥ ️ t mến chúc tuần vv ấm áp hp ngọt ngào gđ thân yêu ♥ ️
negative,hoi han
negative,đừng buồn nửa cj 🥺 cánh đàn ông thay mặt xin lỗi cj 🥺 🥺
negative,cưng sợ
negative,neu ma dung nhu ban noi thi nguoi ck cua ban kg dang mat <someone> ong.mong ban som khoe manh .
negative,đừn mai bùn ko đay thui ko đi đau yên tâm ko pải ko lm nhữn lm
negative,ck vũ phu
negative,tâm trạng nhà uất ức tủi thân khốn khổ gán cam chịu k 😌
negative,bất lực mệt mỏi ...
negative,nước mắt
positive,xinh
positive,xinkkk
positive,idol
negative,bảo đánh . tui lạy
negative,đẻ 2 đứa tiêu cực ko lối thoát ☺ ️ ☺ ️ ☺ ️
negative,"lể k đẹp , đôi khi im lặng phụ nữ quyến rũ . thank you , next"
positive,cuộc đời lắm bất công
negative,mệt 🖤
positive,. nhạc
negative,nợ 50 trẹo 😬
negative,tt 🥰
positive,nằm im ạ 🥰
negative,khóc đi mai đi lm 😂
positive,sad depi kounyea map komanse diw happy birthday mi amor 🥳 🥳
negative,hc 1 đh : ko tin tưởng dựa dẫm ko tát 1 cú đau
positive,đời ko ah
negative,uất ức e a k ngược lại sai e 😭 😭
positive,mũi pam cao nha
negative,nguyễn bửu nhin nhỗi nhóe
negative,hựp j 😿 😿
positive,bồ công bay gió cười
positive,cô dâu xinh
positive,bồ công bay gió cj cười 😘
positive,꧁ ☾ 𝕍𝕜 𝕍ă𝕟 𝕊ỹ ☽ ꧂ vk yêu ck 😘 😘 😘
positive,iu iu iu qam
positive,cưng ghê
positive,giọng
positive,bé nỗi tiếng mn
positive,ban
positive,""" điênn biên phủ thất thủ , nửa vòng trái đất nước pháp chết lặng "" vinh quang việt nam ❤ ️"
negative,"chui tren dau tren cổ , chửi lun dòng no lun văn vs minh 🙂"
negative,nhm nhìu ngta á tích cực đi
negative,béo cưng gét béo dậy béo cưng trời 😳
negative,đéo chợ hàng lương đc 6 tr nuôi 3 bữa :))))
negative,ksao cố
negative,<someone> lịch sự :)
positive,lệ
negative,công chúa đau cỡ hoàng tử chẳng
negative,áo trắng trọc
positive,tui ảnh pam đc ko tui ko
negative,đau đớn 🖤
positive,tự hào việt nam . đk online thakis e .
negative,áp lực 🥺 🥺
positive,🤣 🤣 🤣 giật 🤣 🤣 🤣 🤣
negative,gái thương đối xử ngta . cố . 😌
negative,"chờ cãi , chồng giơ lí do đánh nhập viện"
negative,mạnh dạn 2 ce nghèo
negative,tội nghiệp
negative,căn bệnh 8 sức chịu đựng
positive,tuyệt vời
negative,áp lực tiền bạc =))))
negative,cố 🥰
negative,thui hum đc buồn nua nha
positive,miệng c salim xinh .
positive,tán gái công nghiệp mặt đi . dạo lưng cực zẫy 😂
positive,🥰 cám ơn
positive,bé cutii qué 🥰
positive,rasha talaat 14/2
negative,hôm nay
negative,mày ly dị tao lạy
positive,"trời xanh , mây trắng ánh say nắng , say vợ ❤ ️ 😘"
negative,tội gái 🥺
positive,nỗ lực đền đáp
negative,lắm : (
negative,thân cũ
positive,2 thằng gà trống gà mái
positive,đẹp 🥰 🥰
negative,"kh khóc , r khóc ☺ ️"
positive,hôm giao thừa tổng duyệt z e
negative,mệt 🥺
negative,vd chua cap đc kh
negative,yêu cũ :)) ng thay thế
positive,cty chữ c kết thúc nic z =))
positive,mến đức phúc
positive,dthuong 🥰
negative,: chết mẹ : vườn hái : đẹp
negative,đàn ông đi ta làm vậy trách dan ong vu phu
positive,tự hào sinh mảnh đất lịch sử anh hùng
positive,mẹ salim cực phẩm sinh pam cực yêu
positive,cosmeas
positive,cảm phục .
negative,phí
negative,miệng mặc kệ nhm suy nghĩ : <
positive,cường thơ 🥰
negative,ck . áp lực . suy nghĩ tích cực hòa đồng vui vẻ ngày trước k dk
positive,điện biên . tự hào . 🥰 🥰 🥰
positive,kim phụng :))
negative,ngoại tình v : yêu v :
negative,s 🥺 e mệt a
positive,👍 👍 👍 👍
negative,có lẽ khóc nhẹ ko bùn 🥺 🥺 🥺
positive,lắm ah 🤘 😍 🤭
negative,"gia dinh , đau đớn , gục ngã , mệt mỏi lắm , áp lực"
positive,cô dâu xinh wa 🥰 chúc 2 hạnh phúc
negative,nhắn chúc mày iar chảy suốt đời r block mong chia tay :))
positive,kim duyên chúc vk ❤ ️ tốt đẹp 😘 🥰 🥰 ❤ ️ ❤ ️
positive,có mặt 🥰 🥰 😳
negative,id ko
positive,😁 😁 😁 😁
positive,adidaphat
positive,"4 , <someone> ❤ ️"
positive,xinh
negative,tui im lặng e ☺ ️
positive,❤ ️ ❤ ️ ❤ ️ hp hai đẹp nắm
negative,💤 suy nghĩ a thuận
negative,tạt keo hồ kim tuyến
negative,qn ... khóc 2 : v tr sụt kí :) bth r ko khóc nx 😂
negative,toi khong bi ap luc 😊
negative,", . kín"
negative,unhi đi suy ngẫm
positive,đỗ 3 đổi 👾 ôi dễ thương 😁 😁
positive,parkjiyeon380 nè
negative,tui ko ko lựa chọn nx bn chs ng t3 ko chs nx hồi tối tui tâm sự bh ng t3 điện tâm sự bn
positive,"nể phục bạn , chúc sk may mắn"
negative,mệt
negative,met that roi ☺ ️
positive,đẹp trời
negative,đau buồn k thể diễn tả . mong tui 🥺 🥺
negative,giáo vòng trắng kia
positive,trời tự hào luônnn 🥺 🥺 😭 🙈
positive,giàu cầu hôn cô dubai 🤣
positive,đào chết
positive,kiểu gi
positive,𝙉𝙜𝙤𝙘 𝙔𝙚𝙣 ê nào tui nhảy đi vui ă
positive,vía ❣ ️ ❣ ️
negative,áp lực 😅 😅 😅
negative,thương bé . bé đẹp trai
negative,tệ 😊
positive,phúc kiểm tra tóc hòa tóc ko
negative,hôm nay vô tình xa lạ 😌
positive,elm ngại xíu xiu chuyên nghiệp nha 🥰
negative,dzô nè mấy đứa e giúp a thoát . tuyệt vời 💋
positive,việt nam tuyệt vời 🥰
positive,iu iem
negative,câu an ủi xa lạ bật khóc gđ ko động viên trách móc
negative,bất lực bật khóc 😭
negative,"chính xác đa số cha mẹ dạy con cái con cái <someone> , ngược lại ko mai sau con cái trốn tránh gánh thất bại : ( ("
negative,"“ sợ thị phi , sợ thị phi lắm . sợ thị phi rành , sợ mấy đứa gái kia xấu . đi nói chuyện gái . gái kia xấu lượn đi , thị phi “"
negative,mệt lấm mẹ
negative,kẻ si tình đợi chờ 1 câu đc vui ...
negative,video
positive,26/2 mấy hpbd đi
negative,móa 🥰
negative,linhha945 bây h e ko mệt mỏi thái độ e
positive,happy birthday ❤ ❤ ❤ ❤
positive,cố gắng nghịch cảnh tốt đẹp 🥰
positive,1 cơ thể khỏe .
positive,cute xinh xinh
positive,xinh wa
negative,nhạy cảm giọt nước mắt rơi mặt . khóc một mình .
negative,giảng
positive,chiếu rời đô ngỡ xuyên thời ý
positive,đẹp
positive,cô dâu xinh 👍
negative,chúc
negative,hiukaghnyn động lực ban đấy ạa
negative,saoo 😊
positive,tho
negative,t quét tự nhiên đứng khóc lí do :))
negative,t linh cảm t 1
positive,cchat toàn mẫu xinh . linh
positive,hai má ấyy 🥰 🥰
positive,❤ ❤ ❤ ❤
negative,đàn bà chồng thương yêu khổ ta đàn ông tức
negative,e bệnh
positive,vía 🥰
negative,áp lực 😣
negative,cap 👍
negative,gấp đi 🤬 🤬 🤬
negative,béo hả . cố
positive,mai lan
positive,cô dâu xinh tươi 🥰 . hoan hỉ gái đc hạnh phúc
negative,"buông xong đk 3 h , đau 😢 😢 😢"
positive,my birthday is today 🥰
negative,kha đẹp trai xinh cậu sinh nhật tui
positive,vui gớm
negative,gục ngã 😩
negative,"tội bé mn , thương 🥰"
positive,"cô dâu dể đẹp đôi nè , xinh tóa"
negative,vay đẹp
negative,"e nhạy cảm nhưg ko mún giọt nước mắt mik chọc e phiền , cũg an ủi nhưg z yếu đuối ...."
positive,bộ đồ hãng mách tui
positive,mê nhạc thui
positive,lê <someone> đẹp
positive,cô dâu xinh
negative,chúc / đg xe cán háng banh hẹn / 1 / đám ma
positive,rât đẹp
negative,"vây , con người ko ."
negative,27
negative,"câu "" mày coi ngta kìa "" tui quậy phá bgio"
negative,bó tay
negative,đêm . mệt mỏi quá thể
positive,nice
positive,mơ 3 ac ghê
negative,"đừng nản nha , lạc quan đi 🥺 😢"
negative,ngày mai
positive,chời c salim xinh ghê 🥰
negative,", đc bão , <someone>"
positive,tuyệt vời 👏 👏
negative,tạnh đi quần áo khô lắm
positive,", xuất sắc , viết , nam , ngày nay , , nhân , tài , chúc mừng moi , , , <someone> , , cảm , on ,"
negative,áp lực trời 😢 😢
positive,cuộc đời hàng ngàn cám dỗ
negative,áp lực 😞
negative,hối hận lỡ đi đường du học ổn tiếc nuối
positive,cute trời ❤
negative,tiêu cực tiêu cực tiêu cực
positive,๖ ۣ ۜ nguyễη đăηg khοα ✦ lưu
positive,cô dâu đẹp
negative,mãi video trải quaaaa 🥰
positive,sến
positive,🥺
positive,cố gắng 💪
negative,lun
negative,thương 🥺 🥺
negative,đi vui vẻ phòng 4 tường tổn thương 😞
positive,quỳnh hêh tết nhảy đi elm
positive,vui
positive,quad
negative,một mình cực á kkkk
negative,bt j bây h 😞
positive,"duyên , 1 duyên-99 giàu 🥺"
positive,đỏ tươi
negative,e ms đi mổ ruột thừa xg a a mik ct đi e thay lòng đổi dạ r
positive,thành tâm xin vía bé khỏe ngoan ngủ ngoan
negative,ma
negative,minh ảnh 💓
negative,chia tay
positive,mua . tăngj 1 quyển
positive,áp dụng y trang bảo tiktok 😂
negative,uất ức 🥺
negative,<someone> buồn chán ước j đc mày tiền 😅 😅 😅
positive,cưới
negative,mệt
positive,☀ ️ celimo 🌧 ️ ⛈ ️ yêu 🥰
negative,tiền ko . tiền coi 😂 muôn ngàn ta vui
positive,gọi nàng họa sĩ tồi vẽ cầu vòng nắng vẽ hạnh phúc 😁 😁
positive,chuc sức khỏe
positive,ui tết í trời 🫂 🫶 🏻 💓 ❤ ️ ‍ 🔥
negative,no suy người thân bn bè đầu gd no coi thừa 😌 buồn phụ nữ ck
positive,cười xỉu 🤣
positive,chậm thui pà zà :))) tui chạy ko kịp 😂
negative,✨ thanhtrucc 🤡 di nguoc
negative,áp lực . k thở nổi 🥺 🥺
negative,"vây chê hả , t đi t cưng bàn 😂"
negative,1 nụ cười 😊
negative,chạy wc khóc 🤧
positive,salim góc nì net hao hao châu
positive,avata
positive,thiên nhiên tươi đẹp con người tràn đầy năng lượng
positive,tuyệt vời
positive,anh chị giỏi 👍 👌
negative,cmt 1000 xong r h 1001
negative,im lặng . vi tổn thương . hoc im lặng chịu đựng
negative,t rơi tiêu cực
positive,gia đình vui nha
positive,chúc vui vẻ
positive,3 đẹp chuẩn
negative,trường hợp ch9 cặp sừng công bằng nha
negative,vãi :))
positive,thích thơ
positive,hài
negative,gia dinh giữ gìn sức khỏe ☺ ️
positive,ghann nhảy kiểu ni nè
positive,:)))
positive,thành tâm xin vía
negative,"đứa k , đứa e học , cha mẹ già 😞 😞 😞"
negative,cc
positive,faiceb00k kim đoàn tiến phong . a giúp minh trúng sô đề xong 600 tr nợ roi nè 🥰 🥰 nha
positive,"11 nắng gió trời , yêu e đời a 😁"
positive,tuyệt vời ( ngưỡng mộ )
negative,nghi beo ma đanh minh chăm vk minh mai ma ko béo kìa
negative,"áp lực ng thân , bạn bè ( toàn so sánh ) ☺"
negative,kh dám 😂
negative,miệng đời sát thương mik
negative,sai sai
positive,elm điệuuuuu
negative,😴
negative,tha thứ đc tha thứ ko buông .. phụ nữ khổ . mạnh mẽ 😭 😭 😭 😭 😭 😭
negative,ghê
positive,"tui chờ mãi hình bác , lăng bác khuôn mặt tuyệt nha , màn drone ấn tượng"
negative,đổi job đi 4.8 tha thiết
negative,mẹ . cảm giác đc mẹ gắp thức ăn . cảm giác mẹ đắp chăn trời lạnh . hai mẹ con cười 🥰 xin lỗi mẹ
negative,lm thoát overthinking
negative,an ủi duy nhất
positive,hi hi dễ thương
negative,ỉa mồm đi e :)))
negative,"block , gặp mặt tỉnh bơ coi quen biết , trả lời , tò mò chết ."
negative,e i sì ntn 🥺 ngọc san
positive,nhầ vui 👍 🌹
positive,trvia yêu
negative,mik snap video nh
negative,khong đấm cấp
positive,cưng dạ
positive,đẹp ngta
positive,bó tay gái mắt sáng rực
positive,mekup
negative,thời
negative,nghèo tệ 😥
positive,11 . 24 h canchỉ 1 h tự do 😏
negative,ta đổ lỗi . tình yêu hoàn hảo chân thật .
positive,😂 video
positive,ngoc my 🤣 🤣
negative,công ty chia bè phái dậy mấy 🥴
positive,"niềm , chúc <someone> mục tiêu ."
negative,"nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ , nợ"
negative,đâu lòng lạnh nhạt 😔
positive,xinh đẹp k may mắn chồng 😘 😘 😘
negative,đi
positive,vía bé trai khỏe bụ bẫm yêu ♥ ️
negative,hoac co the la hom ..
positive,"sách ý nghĩa , <someone>"
negative,"thanhvan1100000 chê đừng đánh vợ , k ốm nỗi đâu nha kkk"
positive,pháo hoa kh ok kia 🥰
negative,nốt ruồi lận đận đường tình duyên
negative,"sông sâu nc chảy đá mòn , 30 s e nhường a 🙏"
negative,ryo__2000 tự nhủ mặn mẻ dè k mặn mẻ nổi 😭
negative,chửi c . cmnđ văn vở .
negative,mong bố mẹ khỏe 🍀 🥺
negative,"mẹ bảo "" miệng đời mà còn cấm đc đừng qtâm mẹ "" 💖"
positive,pamyeuoi 💕 💕 💕
positive,<someone> yến ✨ nè
negative,sancho ko phế . mu phế
positive,thiên hạ trầm trồ ko thử ảnh
positive,😂 😂 😂 hahaha cưng
positive,sách nè
negative,"dao vô hình cay độc con người , con người tức giận ......"
negative,chẳng lễ ❣ ️
positive,🤣 🤣 🤣 🤣 🤣 🤣 🤣 lỗi 🙏 🙏 🙏 🙏
positive,mẹ ả ta xinh chời
positive,"uầy váy cưới i chang ,"
negative,đối xử tệ bạc lắm bức xúc thế này : v
positive,3 đẹp hihi
positive,pam dthw v mak nổiii 😩
positive,mặt trăng
positive,vinh quang đời đời dân tộc việt nam văn hiến anh hùng 🥰 🥰 🥰
positive,sách
negative,mệt 😞
positive,dở khổ bộ đội 😐
negative,hình nhaaa 🥰
positive,mẹ saluym xinhhhh 😁
negative,mấy đời bánh đúc xương mấy đời ghẻ thương chồng câu 🥺 🥺
positive,nguyễn hữu lộc hello
positive,love¹⁵ ࿐ 🥺 🤣 wa sin sỉ 🤣 🤣 🤣 🤣
positive,"tui yêu , bú xiên 4"
positive,"đầm hòa xinh , mua 🥰"
positive,tiên bả lườm làm phép
negative,o tren doi cung co loai nguoi mhu vay . that la toi
positive,hoàng luận trời cưg 🤣
negative,ko thương .
positive,tóc đen tim đỏ ghé mik ny ..
positive,17 . th11 🙈
negative,mẹ vay . trời oi trời
positive,vành hoa đỏ ❤ thiên sử vang 🥰
negative,cứu
positive,trần tú
positive,chúc 2 bn tỉ hạnh phúc
negative,😞
negative,🥺
negative,"set độc thân , cmt mấy viết nt độc thân đi , nam giãy nảy đ . ụ . c vô mỏ . cần thiết ib tui gửi tài liệu 😌"
positive,dể thuong
negative,met moi lam roi 🥺
negative,v
negative,cố gắng bn 💪 🥰
positive,"quê , vn"
positive,🥰
positive,lắm nha 💓 💓
positive,bưa chúc thìn chúc e thìn đẹp 😂 😂
negative,mặt tươi cười cảm xúc 😞
positive,trời 🤭
negative,cúc 😂
positive,pam bt ước đc véo má thuuu 😳
negative,e chết ik gd 2 mấy đứa con bé bỏng e s 🥺
negative,that khonq
negative,mệt mỏi
negative,😔 😔
positive,gái sáng mắt
negative,áp lực
positive,pam cute zọ 😘 💞 🌷
negative,phủ nhẻ 😅
negative,😏
positive,"cường ae , 2 nét"
positive,😂 😂 😂 cute oi
negative,gom ... buông ...
positive,🥰 🥰 🥰
negative,hôm nay mệt : ( (
positive,xa xôi . . 🥰 🥰
positive,da quỳ sách nè
positive,j mb
negative,hôm nay mai 🥺 🥺 🥺
negative,thương
positive,long nguyễn xin vía đi . 🤣
positive,đường nhái
negative,ck bo ck kg nhầm trẻ đẹp đánh vai nhan sắc tuổi trẻ wa đi đánh cờ
negative,quen thoi
negative,im lặng vô ích lợi hạnh phúc
negative,h .. vui vẻ .. năng lượn tích cực nè 🥰 🍀
positive,"chúc mừng , thoát đc cty gia đình"
positive,ùi tui nhá 🤣 🤣 🤣 🤣 🤣
positive,trịu viu gồi kìa
negative,"ql toàn tưởng sếp ko , mấy ai công tư phân minh . 10 cty 9 cty"
positive,mê mẹ pam 😂
negative,lí thuyết dể thực hành
negative,xứng đáng inter
positive,xinh vai
positive,...
negative,mỹ ngân 🥀 tao ik
positive,yêu đi
negative,linh hoàng ôm
positive,hài vãi :))))
positive,🤣
negative,"chết , khổ học 2 quyển sách 300 trang 1 😭"
positive,chúc trôi khỏe sống tích cực ❤ ️
negative,giả vờ k k thể ngưng snghi câu
negative,chipp 🐾 cảm giác trở lại
negative,chỵ gái mạnh mẽ . gửi chúc ấm chỵ 🥰 🥰 🥰 🥰
negative,t t ko khóc ...
negative,nghẹn
positive,đứng dễ thương 🥰
negative,"gái thích thế lời nói nha , đánh k dc , kiểu ghiền ak 😂 😂"
positive,hây
positive,cố 🥰
negative,giồng mjk đứng
negative,trc yêu đánh dã man . k ngừoi
positive,cảm on 👍 👍 🥰
negative,mây mù kk đường đi nữa 😢
positive,1
positive,e 1 mik e chia 1 miến ko jkthaor12341 🤣
positive,"đẹp , lạ pháo hoa không khí tết"
negative,tê thât
negative,thành nhân khóc kinh khủng
negative,sines haizzzzz
positive,cám ơn
negative,". ko thể san sẻ , giãi bày cô đơn nước mắt lau chảy"
positive,huỳnh thanh tú nhặt bò tùm lum
negative,hoài ko chán
positive,sách lắm mua tn đấy
negative,tệ dư
negative,xĩuuu
negative,"mn đừng ngồi thiền , bữa đi chùa thầy bệnh"
negative,sợ lắm chết 2 mẹ 🥺
positive,<someone> tiếp cuộc đời . chúc mạnh khỏe 🥰 🥰
positive,cố
positive,😂 😂 😂 oi trời
positive,bảo cường link mua mũ 😂
positive,🥰
negative,áp lực mệt mỏi 🥺
positive,cưng đi thoi 🌹
positive,chuẩn căng đét 😂
negative,miệng đời áp lực stress ...
positive,tôm sông sứa biển
negative,ngừng than vãn chẳng giúp
negative,éo mách mẹ bố xong chuyện :)))
positive,khâm phục
positive,yêu
positive,sancho dc đá c1 kk
negative,lm áp lực ...
positive,cố đì b đẩy quen vào đấy 😂
positive,đỗ thị hải yếnn
positive,<someone> ck
positive,bả đi đôi gót nhảy cháy trời lun 🤣
positive,chết cười =))
positive,tiên bụt ơii ước gi màu hồng xinh xinh 💋 🤍
negative,6 mãi chạy . tự nhiên thương chiều 🥺 🥺 🥺
positive,ui xịn 🥰
positive,ánh mắt dè chừng cổ
positive,"thành tâm xin vía bé yêu bụng , tổ an toàn"
positive,cô dâu xinh phúc hậu ❤
negative,đi quần áo mặc 😂
positive,phạm đình giang m =))
negative,đi
positive,tự hào ng việt nam
negative,mệt mỏi 🥲 🥲 🥲
negative,nan a khóc chiều r 😟
negative,ko quản lý quản lý . 😌 😌 😌
positive,4 quyển
negative,vs … liệu ko 🥺
positive,mệt mỏi 😞 😞
positive,chuẩn 🥰
positive,xinh dã man
negative,𝘽ắ𝙥 𝙇𝙞𝙤𝙣 nhiêu 😔
negative,ngọc thư :)))
negative,ly hôn đi . đi e
negative,mệt ròiii từ bỏ hông 😪
negative,cô đơn
positive,vía 🥰 🥰
negative,mạnh mẽ auk e 1 gái kn chỗ dựa .. j chỗ dựa e .. 💔
negative,quản lí chửi t k rơi tiêu cực t khuyên nhủ k đc đòi <someone> t chịu đựng
negative,"miệng đời cay nghiệt , đừng trách . đời vẽ xinh thuii"
positive,tui 180 phút
positive,may mắn đầy đủ bộ phận khỏe mạnh . khâm phục e
positive,hiền đú
positive,😁 😁 😁 xua roi
negative,inter gà v
positive,xỉu vẻ đẹp hiệp suỹ 😭
negative,"chồng đánh bóp cổ dí dao , ly hôn tởn fa . sai đàn ông ko 😏"
negative,tội
negative,suy nghĩ tiêu cực lặp đi lặp lại 4 mất ngủ ko bt não bộ khỏe học tập
negative,😭 😭 😭
positive,đọc 4 làm văn đc khen 🥰
positive,nice job
positive,thành tâm xin vía e bé yêu bụ bẫm thai kỳ khỏe bụng ❤ ️
positive,"cứu tui cứu tuii , con bé iu"
negative,khóc nx r chả ta
negative,"cv , gd , xã hội , bạn bè"
positive,thien
negative,. chẳng dám nt 😥 m
negative,2 lành
positive,đẹp . ko bit đẹp ko
negative,một mình
negative,xjn video ad
negative,nhắn chiều cổng cty t :)))
negative,chia tay liền đi
positive,xinh đẹp
positive,500 nghìn củ đời
negative,"áp lực , mệt mỏi , oan ức , cô đơn gia đình , học tập , bạn bè , tình thương tình cảm trống"
positive,câu ta
positive,inhìn thiệt 🥰 tt 🥰
negative,mệt
positive,gọi london ruby
negative,inter ngáo đấy
positive,chip . daxanh bồ công bay gió cười ý tuyền thân 😔 😔
negative,"nhuw 🫶 ngọc trinh cutii ( 🙈 ❤ ️ ‍ 🩹 ) t ko thích , thich tận đáy long ☺ ️"
negative,"giai đoạn bối rối cuộc đời : trẻ trưởng thành , trước mắt mây mù , lưng áp lực . """
positive,hình ảnh mỉm cười vẫy tay toàn thể nhân dân 🥰
negative,... suy nghĩ lạc quan 1 chút ☺ ️ ☺ ️
negative,♡ 😕
positive,"nghi luc song that tuyet voi , co len"
positive,🥰 đẹp
negative,"áp lực đôi khi hp ba mẹ ba mẹ thất vọng , xấu hổ mng 🥺 🥺 🥺"
negative,chân thành thành đổi phản bội .
positive,fiona gallagher
positive,"vog duyên âm nghi ngờ thư yếm bùa ngải chụp 2 bàn tay gửi giúp , ko tốn phí"
positive,🥰
negative,thua 😏 😏 😏
positive,ý nghĩa
negative,áp lực gđ
negative,bệnh nản
negative,thất vọng
negative,mệt suy nghĩ
negative,track track mẹ kia kìa
positive,kim ngan bth a đi ny
positive,🥰 🥰 🥰 🥰 🥰 🥰 🥰
negative,đầy đủ triệu chứng
negative,mỏ hỗn nhung hayy khoc 🙈
negative,", im lặng 😔"
positive,đi k cầm đt k 🤣
positive,jemas hiền nghe đọc ghê
negative,sinh nhật cungz 1 chúc 🙂
negative,bệnh phổi
negative,lịch sự che 🤣 🤣
positive,đẹp 🥰
negative,phương thu cutiii 🥱 combo 🥹 🥹
negative,đừng đi ...
positive,2 dễ thương 💖 💖 💖 🥰 🌹
negative,huhu
negative,😃 thất vọng từ bỏ đi
negative,câu : tự do 🥺
negative,kia l khắm l mùi :))) a dí sùi mào 🤣 🤣 🤣 🤣
negative,e buồn gắng đánh : ( đậu nổi trường c3 mơ ước khong
positive,nicky wang
positive,thành tâm xin vía bé bụ bẫm
positive,ngắn gọn
positive,"thế kỷ 20 việt nam ta <someone> vang danh châu , hình mẫu nc đô hộ đc độc lập"
positive,nè
negative,áp lực 🥹
negative,"áp lực mẹ , kiểu cố gắng kiếm đồng tiền . mơ hồ . xin lỗi 😔"
positive,🥰 cưng sĩu ❤ ️
negative,thua dortmund phút cuôid
negative,thương e 🥺 🥺 😥 😥
negative,hải ☺ ️
positive,giày 2 ngang dày hòa 😁 😁 😁
negative,toxic
negative,na nà ná na 🧚 ‍ ♀ ️ bé 🥺
negative,lautaro cay lắm :)))) sút trời
positive,🥰 🥰 🥰 🥰 🥰 🥰 tuyệt vời nam mô a di đà phật
negative,thất vọng yêu thương
positive,"hi hi hi , tận chân trời rạo rực tim 🥰 🥰 🥰 🥰"
negative,"yêu thương hành hạ . phụ nữ vốn sinh chở che , bảo vệ ... hành hạ ... 🥺 🥺 🥺"
negative,mấy
positive,đẹp tốn kém đẹp suất sắc
negative,im lặng câu trả lời 💙 .
positive,mời anh chị đb quê 🥰
negative,đời 😥
positive,56 cơm dầm mưa vắt . hào hùng
positive,cánh vướn tầm uấy 🤣
positive,후엔 💕 k 🙈 🥰
positive,1 sư đoàn thời cân trận k 😁
negative,nhi nhi ❤ ️ ck khóc 1 thả mệt mỏi cảnh xứ
negative,thằng tuất
negative,"vũ phu ly hôn , 1"
negative,e videooo 🥰
positive,pam
positive,tuyệt vời
negative,trịnh gia thành loi
positive,chuẩn 🥰
negative,đàn ông đánh đàng sài cj
positive,bún bò vị trà sữa cx sư tử su tử ngt 😇 😇 😇
negative,"đánh phụ nữ nhành hoa , câu bé . dạy 😁"
positive,đẹp hào hùng
negative,té mẹ đi . tui vk béo ko
positive,điện biên xin chào đồng bào
negative,hông 1 1 yếu đuối
positive,u mê cô dâu 😍
positive,dth đi
